ID_Medicamento,Principio_Activo,Nombre_Comercial,Laboratorio,Formato,Dosis_mg,Unidades_por_Caja,Precio_BS,Precio_USD,Es_Marca,URL_Fuente,Fecha_Scrape,Fabricante_Origen,Fuente_Origen,Fuente_Origen_URL,Proxy_Origen,Categoria_antibiotico,Categoria_antidepresivo,Categoria_antifúngico,Categoria_antihistaminico,Categoria_cardiovascular,Categoria_gastrointestinal,Categoria_neurológico,Cadena_Farmatodo,Cadena_Locatel,Segmento_Medio,Segmento_Alto,Segmento_Bajo,residuos,y_hat,Precio_USD_Estimado
79,Amoxicilina,VALMORCA AMOXIVAL 875 MG X 20 TABLETAS RECUBIERTAS,VALMOR,Tableta,875,20,8692.13,18.3355,1,https://www.locatel.com.ve/valmorca_amoxival_tabletas_recubiertas_875mg_x_20/p,2026-04-06,Venezuela, INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.40.054,0,1,0,0,0,0,0,0,0,1,1,0,0,0.48168416302626005,2.4802586215383093,11.08
17,Amoxicilina,Amoxicilina 500 Mg Genven Caja X 12 Cápsulas,Genven,Cápsula,500,12,2108.5,4.4478,0,https://www.farmatodo.com.ve/producto/114435395-amoxicilina-500mg-12-capsulas-genven,2026-04-06,Venezuela,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.G.39.124,1,1,0,0,0,0,0,0,1,0,1,0,0,0.028455465717802664,1.6667563917360235,4.03
66,Sertralina,Sertralina 50 Mg Calox Caja X 10 Tabletas,Calox,Tableta,50,10,2550.0,5.3791,0,https://www.farmatodo.com.ve/producto/111206035-sertralina-calox-50-mg-x-10-tabletas,2026-04-06,Colombia,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.G.36.820,0,0,1,0,0,0,0,0,1,0,0,0,1,0.3686977462148946,1.4843292753603627,3.28
117,Omeprazol,VARGAS OMEPRAZOL 20 MG X30 CAPSULAS,VARGAS,Cápsula,20,30,2007.49,4.2347,0,https://www.locatel.com.ve/cvargas_omeprazol_20_mg_x30_capsulas/p,2026-04-06,Venezuela,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.G.30.231,0,0,0,0,0,0,1,0,0,1,1,0,0,0.006675675010402005,1.6486338610797548,4.0
77,Amlodipina,CALOX AMLODIPINA 5 MG X10 TABLETAS,CALOX,Tableta,5,10,710.99,1.4998,0,https://www.locatel.com.ve/calox_amlodipina_5_mg_x10_tabletas/p,2026-04-06,Venezuela,Calox,https://calox.com/producto/amlodipina/,0,0,0,0,0,1,0,0,0,1,1,0,0,-0.1251490616129748,1.0413597902869591,1.86
20,Atorvastatina,Atorvastatina 20 Mg Genven Caja X 10 Comprimidos,Genven,Tableta,20,10,1420.0,2.9954,0,https://www.farmatodo.com.ve/producto/112910359-atorvastatina-20mg-10comprimidos,2026-04-06,Venezuela,Farmatodo,https://www.farmatodo.com.ve/producto/112910359-atorvastatina-20mg-10comprimidos,0,0,0,0,0,1,0,0,1,0,1,0,0,0.33921048521674435,1.0459332141457502,1.87
125,Acetaminofen,TACHIFORTE TAB 1G X20 ELM,ELMOR,Tableta,1000,20,1991.05,4.2,1,https://www.farmaciasaas.com/elmor-tachiforte-tab-1g-x20-elm-13061/p,2026-04-06,Venezuela,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.40.210,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.25228320463899934,1.900941830226381,6.11
25,Cetirizina,Cetirizina 10 Mg Genven Caja X 10 Comprimidos,Genven,Tableta,10,10,830.0,1.7508,0,https://www.farmatodo.com.ve/producto/113016404-cetirizina-10mg-10comprimidos,2026-04-06,Venezuela,Farmatodo,https://www.farmatodo.com.ve/producto/113016404-cetirizina-10mg-10comprimidos,0,0,0,0,1,0,0,0,1,0,1,0,0,0.1578292083047932,0.8540625701587508,1.29
67,Sertralina,Sertralina 50mg La Santé Caja X 10 Tabletas,La Santé,Tableta,50,10,2720.0,5.7377,0,https://www.farmatodo.com.ve/producto/111025693-sertralina-50mg-x10-tabletas-la-sante,2026-04-06,Venezuela,Pharmetique,https://www.pharmetiquelabs.com.ve/producto/sertralina-50mg-tab-x-10-00/,0,0,1,0,0,0,0,0,1,0,1,0,0,0.15992194363247236,1.7477966767631774,4.58
155,Ibuprofeno,IBUPROFENO TAB 800MG X10 FMED,FARMAMED,Tableta,800,10,763.24,1.61,0,https://www.farmaciasaas.com/farmamed-ibuprofeno-tab-800mg-x10-fmed-53299/p,2026-04-06,India,GS1,https://www.gs1.org/services/verified-by-gs1/results?gtin=8906082150980,1,0,0,0,0,0,0,0,0,0,0,0,1,0.12788806268232344,0.8314621586522786,1.31
